timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480563.855:      2  78  10  768
1477480563.855:     14  78  10  768
1477480563.859:      5  78  10  768
1477480563.860:    -15  78  10  768
1477480563.861:    -23  78  10  768
1477480563.863:    -13  78  10  768
1477480563.865:      2  78  10  768
1477480563.866:      9  78  10  768
1477480563.867:      6  78  10  768
1477480563.870:      3  78  10  768
1477480563.872:      3  78  10  768
1477480563.873:      3  78  10  768
1477480563.874:      2  78  10  768
1477480563.875:      5  78  10  768
1477480563.878:     17  78  10  768
1477480563.884:     31  78  10  768
1477480563.894:     39  78  10  768
1477480563.894:     41  78  10  768
1477480563.894:     46  78  10  768
1477480563.894:     62  78  10  768
1477480563.894:     86  78  10  768
1477480563.895:    107  78  10  768
1477480563.895:    119  78  10  768
1477480563.895:    127  78  10  768
1477480563.897:    143  78  10  768
1477480563.902:    175  78  10  768
1477480563.902:    216  78  10  768
1477480563.903:    257  78  10  768
1477480563.905:    288  78  10  768
1477480563.906:    312  78  10  768
1477480563.908:    337  78  10  768
1477480563.911:    364  78  10  768
1477480563.915:    388  78  10  768
1477480563.916:    405  78  10  768
1477480563.917:    410  78  10  768
1477480563.919:    404  78  10  768
1477480563.919:    384  78  10  768
1477480563.922:    340  78  10  768
1477480563.935:    266  78  10  768
1477480563.935:    167  78  10  768
1477480563.935:     56  78  10  768
1477480563.936:    -48  78  10  768
1477480563.936:   -141  78  10  768
1477480563.936:   -227  78  10  768
1477480563.936:   -312  78  10  768
1477480563.938:   -397  78  10  768
1477480563.946:   -467  78  10  768
1477480563.947:   -507  78  10  768
1477480563.947:   -518  78  10  768
1477480563.947:   -522  78  10  768
1477480563.948:   -544  78  10  768
1477480563.952:   -591  78  10  768
1477480563.952:   -645  78  10  768
1477480563.956:   -677  78  10  768
1477480563.956:   -680  78  10  768
1477480563.958:   -670  78  10  768
1477480563.959:   -667  78  10  768
1477480563.961:   -678  78  10  768
1477480563.963:   -684  78  10  768
1477480563.966:   -665  78  10  768
1477480563.967:   -617  78  10  768
1477480563.969:   -550  78  10  768
1477480563.971:   -478  78  10  768
1477480563.975:   -405  78  10  768
1477480563.993:   -332  78  10  768
1477480563.993:   -261  78  10  768
1477480563.994:   -195  78  10  768
1477480563.995:   -130  78  10  768
1477480563.996:    -64  78  10  768
1477480563.997:     -1  78  10  768
1477480563.997:     48  78  10  768
1477480563.998:     78  78  10  768
1477480563.998:     96  78  10  768
1477480563.999:    112  78  10  768
1477480564.000:    130  78  10  768
1477480564.000:    138  78  10  768
1477480564.023:    131  78  10  768
1477480564.024:    117  78  10  768
1477480564.024:    115  78  10  768
1477480564.025:    132  78  10  768
1477480564.026:    153  78  10  768
1477480564.027:    162  78  10  768
1477480564.028:    161  78  10  768
1477480564.028:    170  78  10  768
1477480564.029:    199  78  10  768
1477480564.030:    232  78  10  768
1477480564.032:    243  78  10  768
1477480564.032:    226  78  10  768
1477480564.032:    207  78  10  768
1477480564.033:    213  78  10  768
1477480564.033:    240  78  10  768
1477480564.033:    258  78  10  768
1477480564.033:    244  78  10  768
1477480564.033:    211  78  10  768
1477480564.034:    190  78  10  768
1477480564.036:    192  78  10  768
1477480564.037:    190  78  10  768
1477480564.044:    156  78  10  768
1477480564.053:     95  78  10  768
1477480564.053:     42  78  10  768
1477480564.060:      6  78  10  768
1477480564.061:    -31  78  10  768
1477480564.073:    -73  78  10  768
1477480564.073:    -66  78  10  768
1477480564.073:     69  78  10  768
1477480564.073:    344  78  10  768
